contact_name,device_name,rssi,location,duration,date,contact
Nokia 7.2,SM-G780F,0,"- , -",13 sec,2022-05-09 03:58:00,[B@440ade2
SM-G780FSP1A.210812.016,G8341,-82,"55.71, 13.23",15 sec,2022-05-11 01:57:00,[B@441085b
Lenovo TB-X505F,G8341,-78,"55.71, 13.23",34 sec,2022-05-11 10:59:00,[B@4489e94
SM-G780F,G8341,0,"55.71, 13.23",1:03 min,2022-05-09 02:03:00,[B@44946c1
Lenovo TB-X505F,G8341,0,"55.71, 13.23",5:09 min,2022-05-09 11:59:00,[B@44bd1a4
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",2:27 min,2022-05-10 09:35:00,[B@454f1ad
Lenovo TB-X505F,SM-G780F,0,"55.72, 13.22",41:32 min,2022-05-12 01:23:00,[B@456e687
Lenovo TB-X505F,G8341,-80,"55.71, 13.23",27 sec,2022-05-11 05:31:00,[B@466599d
SM-G780F,G8341,0,"55.71, 13.23",10:7:13 hours,2022-05-09 02:55:00,[B@46bf249
SM-G780FSP1A.210812.016,Lenovo TB-X505F,0,"- , -",5:32 min,2022-05-12 03:17:00,[B@4710e64
SM-G780FSP1A.210812.016,SM-A700H,-85,"55.72, 13.22",13 sec,2022-05-10 05:24:00,[B@474267a
G8341,SM-G991B,0,"55.71, 13.23",2:54 min,2022-05-09 07:38:00,[B@47bd70b
SM-G991BSP1A.210812.016,G8341,0,"55.71, 13.23",37:28 min,2022-05-11 10:07:00,[B@480c67f
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",16 sec,2022-05-10 10:22:00,[B@4811777
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",1:56 min,2022-05-10 10:49:00,[B@4891012
Lenovo TB-X505F,SM-G780F,-50,"- , -",1:01 min,2022-05-12 10:42:00,[B@48be9e2
SM-G780FSP1A.210812.016,G8341,0,"55.71, 13.23",23 sec,2022-05-10 12:07:00,[B@48cc39c
SM-G780F,SM-G991B,0,"- , -",1:26 min,2022-05-09 11:14:00,[B@4936ce8
Lenovo TB-X505F,SM-G991B,-3,"55.72, 13.21",1:56 min,2022-05-12 07:31:00,[B@4995ad7
SM-G780F,SM-G991B,0,"- , -",51 sec,2022-05-09 11:35:00,[B@4a130dc
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",2:16 min,2022-05-10 11:28:00,[B@4a1c939
Lenovo TB-X505F,G8341,-89,"55.71, 13.23",34 sec,2022-05-11 05:09:00,[B@4a36ae2
Nokia 7.2RKQ1.210607.001,SM-G780F,0,"55.72, 13.22",8:00 min,2022-05-10 01:47:00,[B@4a459e
SM-G991BSP1A.210812.016,SM-G780F,-84,"- , -",1:10 min,2022-05-10 11:13:00,[B@4a9dc37
SM-G780F,G8341,0,"55.71, 13.23",8:12 min,2022-05-09 11:25:00,[B@4afb721
Nokia 7.2RKQ1.210607.001,SM-G991B,0,"- , -",55 sec,2022-05-11 11:08:00,[B@4b187cf
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",2:55 min,2022-05-10 09:45:00,[B@4bff24
SM-G780F,SM-G991B,0,"- , -",3:22 min,2022-05-09 11:38:00,[B@4c1dfdc
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",26 sec,2022-05-10 12:02:00,[B@4c3e066
SM-G780F,SM-G991B,0,"- , -",7:04 min,2022-05-09 11:32:00,[B@4ca4a75
Galaxy S20 FE de Marie,SM-G991B,0,"55.71, 13.23",2:16 min,2022-05-09 09:38:00,[B@4d1bab2
Lenovo TB-X505F,SM-G780F,0,"- , -",13 sec,2022-05-09 03:42:00,[B@4db1772
Nokia 7.2,SM-G991B,-85,"55.72, 13.21",40 sec,2022-05-09 01:06:00,[B@4dcb2f1
SM-G991BSP1A.210812.016,SM-G780F,-92,"55.72, 13.22",13 sec,2022-05-10 10:36:00,[B@4de7bbc
